input_trafo,output_trafo,init,init_size_fraction,random_interleave_iter,surrogate,extratrees,trees,variance_estimator,kernel,nugget,scaling,acqf,lambda,epsilon_decay,lambda_decay,acqopt,mean_runtime,min_runtime,max_runtime
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,DIRECT,91,11,270
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,CMAES,91,1,280
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,LBFGSB,70,1,269
unitcube,none,random,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,CMAES,69,1,189
none,standardize,random,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,CMAES,74,1,191
none,log,random,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,CMAES,67,1,210
none,none,lhs,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,CMAES,83,1,233
none,none,sobol,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,CMAES,90,1,268
none,none,random,0.05,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,CMAES,86,1,237
none,none,random,0.10,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,CMAES,89,1,238
none,none,random,0.25,2,gp,,,,gauss,0,FALSE,EI,,FALSE,,CMAES,50,1,161
none,none,random,0.25,4,gp,,,,gauss,0,FALSE,EI,,FALSE,,CMAES,57,1,190
none,none,random,0.25,0,rf,TRUE,10,jack,,,,EI,,FALSE,,CMAES,18,7,32
none,none,random,0.25,0,rf,FALSE,10,jack,,,,EI,,FALSE,,CMAES,19,7,33
none,none,random,0.25,0,rf,TRUE,500,jack,,,,EI,,FALSE,,CMAES,63,24,109
none,none,random,0.25,0,rf,FALSE,500,jack,,,,EI,,FALSE,,CMAES,59,24,105
