input_trafo,output_trafo,init,init_size_fraction,random_interleave_iter,surrogate,extratrees,trees,variance_estimator,kernel,nugget,scaling,acqf,lambda,epsilon_decay,lambda_decay,acqopt,parameter,iteration,id,mean_meta_score,n_na,n,batch_nr
none,none,lhs,0.25,0,rf,FALSE,10,ensemble_standard_deviation,,,,EI,,FALSE,,CMAES,surrogate,3,15,1.05522338201323,0,8,3
none,none,lhs,0.25,0,rf,TRUE,500,ensemble_standard_deviation,,,,EI,,FALSE,,CMAES,surrogate,3,16,0.977107769259379,0,8,3
none,none,lhs,0.25,0,rf,FALSE,500,ensemble_standard_deviation,,,,EI,,FALSE,,CMAES,surrogate,3,17,1.02524873946337,0,8,3
none,none,lhs,0.25,0,rf,TRUE,10,law_of_total_variance,,,,EI,,FALSE,,CMAES,surrogate,3,18,1.12607272751225,0,8,3
none,none,lhs,0.25,0,rf,FALSE,10,law_of_total_variance,,,,EI,,FALSE,,CMAES,surrogate,3,19,1.12634629856651,0,8,3
none,none,lhs,0.25,0,rf,TRUE,500,law_of_total_variance,,,,EI,,FALSE,,CMAES,surrogate,3,20,0.916169437210415,0,8,3
none,none,lhs,0.25,0,rf,FALSE,500,law_of_total_variance,,,,EI,,FALSE,,CMAES,surrogate,3,21,0.980059455763579,0,8,3
none,none,lhs,0.25,0,gp,,,,gauss,0,TRUE,EI,,FALSE,,CMAES,surrogate,3,22,1.09755292295169,0,8,3
none,none,lhs,0.25,0,gp,,,,matern3_2,0,TRUE,EI,,FALSE,,CMAES,surrogate,3,23,1.1525884051442,0,8,3
none,none,lhs,0.25,0,gp,,,,matern5_2,0,TRUE,EI,,FALSE,,CMAES,surrogate,3,24,1.1457259117782,0,8,3
none,none,lhs,0.25,0,gp,,,,exp,0,TRUE,EI,,FALSE,,CMAES,surrogate,3,25,0.916339766472056,0,8,3
none,none,lhs,0.25,0,gp,,,,gauss,1e-3,TRUE,EI,,FALSE,,CMAES,surrogate,3,26,0.988659415504039,0,8,3
none,none,lhs,0.25,0,gp,,,,matern3_2,1e-3,TRUE,EI,,FALSE,,CMAES,surrogate,3,27,1.04138617708637,0,8,3
none,none,lhs,0.25,0,gp,,,,matern5_2,1e-3,TRUE,EI,,FALSE,,CMAES,surrogate,3,28,1.03861640799941,0,8,3
none,none,lhs,0.25,0,gp,,,,exp,1e-3,TRUE,EI,,FALSE,,CMAES,surrogate,3,29,0.881679625841134,0,8,3
none,none,lhs,0.25,0,gp,,,,gauss,1e-8,TRUE,EI,,FALSE,,CMAES,surrogate,3,30,1.0761443460097,0,8,3
none,none,lhs,0.25,0,gp,,,,matern3_2,1e-8,TRUE,EI,,FALSE,,CMAES,surrogate,3,31,1.14737906891886,0,8,3
none,none,lhs,0.25,0,gp,,,,matern5_2,1e-8,TRUE,EI,,FALSE,,CMAES,surrogate,3,32,1.1515844140913,0,8,3
none,none,lhs,0.25,0,gp,,,,exp,1e-8,TRUE,EI,,FALSE,,CMAES,surrogate,3,33,0.871267664496502,0,8,3
none,none,lhs,0.25,0,gp,,,,matern3_2,0,FALSE,EI,,FALSE,,CMAES,surrogate,3,34,1.12186570986793,0,8,3
none,none,lhs,0.25,0,gp,,,,matern5_2,0,FALSE,EI,,FALSE,,CMAES,surrogate,3,35,1.10722125936112,0,8,3
none,none,lhs,0.25,0,gp,,,,exp,0,FALSE,EI,,FALSE,,CMAES,surrogate,3,36,0.827564695743039,0,8,3
none,none,lhs,0.25,0,gp,,,,gauss,1e-3,FALSE,EI,,FALSE,,CMAES,surrogate,3,37,0.980207610475479,0,8,3
none,none,lhs,0.25,0,gp,,,,matern3_2,1e-3,FALSE,EI,,FALSE,,CMAES,surrogate,3,38,1.04355475976237,0,8,3
none,none,lhs,0.25,0,gp,,,,matern5_2,1e-3,FALSE,EI,,FALSE,,CMAES,surrogate,3,39,1.04333567268331,0,8,3
none,none,lhs,0.25,0,gp,,,,exp,1e-3,FALSE,EI,,FALSE,,CMAES,surrogate,3,40,0.788318717814023,0,8,3
none,none,lhs,0.25,0,gp,,,,gauss,1e-8,FALSE,EI,,FALSE,,CMAES,surrogate,3,41,1.05030376408169,0,8,3
none,none,lhs,0.25,0,gp,,,,matern3_2,1e-8,FALSE,EI,,FALSE,,CMAES,surrogate,3,42,1.12444866993498,0,8,3
none,none,lhs,0.25,0,gp,,,,matern5_2,1e-8,FALSE,EI,,FALSE,,CMAES,surrogate,3,43,1.10685109471313,0,8,3
none,none,lhs,0.25,0,gp,,,,exp,1e-8,FALSE,EI,,FALSE,,CMAES,surrogate,3,44,0.862315174508981,0,8,3
none,none,lhs,0.25,0,gp,,,,gauss,0,FALSE,PI,,,,CMAES,acqf,3,45,0.196984260904447,0,8,3
none,none,lhs,0.25,0,gp,,,,gauss,0,FALSE,Mean,,,,CMAES,acqf,3,46,1.1045482435617,0,8,3
none,none,lhs,0.25,0,gp,,,,gauss,0,FALSE,CB,1,,TRUE,CMAES,acqf,3,47,1.00539300282852,0,8,3
none,none,lhs,0.25,0,gp,,,,gauss,0,FALSE,CB,3,,TRUE,CMAES,acqf,3,48,0.8801972612672,0,8,3
none,none,lhs,0.25,0,gp,,,,gauss,0,FALSE,CB,10,,TRUE,CMAES,acqf,3,49,0.685373969339754,0,8,3
none,none,lhs,0.25,0,gp,,,,gauss,0,FALSE,CB,1,,FALSE,CMAES,acqf,3,50,1.03308329826257,0,8,3
none,none,lhs,0.25,0,gp,,,,gauss,0,FALSE,CB,3,,FALSE,CMAES,acqf,3,51,0.921363514470613,0,8,3
none,none,lhs,0.25,0,gp,,,,gauss,0,FALSE,CB,10,,FALSE,CMAES,acqf,3,52,0.68765344944847,0,8,3
none,none,lhs,0.25,0,gp,,,,gauss,0,FALSE,EI,,TRUE,,CMAES,acqf,3,53,0.90055732773643,0,8,3
none,none,lhs,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,RS_1000,acqopt,3,54,0.786399402598876,0,8,3
none,none,lhs,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,RS,acqopt,3,55,0.849262744694452,0,8,3
none,none,lhs,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,LS,acqopt,3,56,0.951426630782025,0,8,3
none,none,lhs,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,DIRECT,acqopt,3,57,0.898560686809083,0,8,3
none,none,lhs,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,LBFGSB,acqopt,3,58,0.954574703322524,0,8,3
unitcube,log,lhs,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,CMAES,input_trafo,4,1,1.13563472012368,0,8,4
none,none,lhs,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,CMAES,output_trafo,4,2,1.04506779770263,0,8,4
none,standardize,lhs,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,CMAES,output_trafo,4,3,1.04359228722675,0,8,4
none,log,random,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,CMAES,init,4,4,1.13152376345412,0,8,4
none,log,sobol,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,CMAES,init,4,5,1.17072316344105,0,8,4
none,log,lhs,0.05,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,CMAES,init_size_fraction,4,6,1.12065463943977,0,8,4
none,log,lhs,0.10,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,CMAES,init_size_fraction,4,7,1.12866609759278,0,8,4
none,log,lhs,0.25,2,gp,,,,gauss,0,FALSE,EI,,FALSE,,CMAES,random_interleave_iter,4,8,1.12443710858702,0,8,4
none,log,lhs,0.25,4,gp,,,,gauss,0,FALSE,EI,,FALSE,,CMAES,random_interleave_iter,4,9,1.12124034088366,0,8,4
none,log,lhs,0.25,0,rf,TRUE,10,jack,,,,EI,,FALSE,,CMAES,surrogate,4,10,1.1652703484834,0,8,4
none,log,lhs,0.25,0,rf,FALSE,10,jack,,,,EI,,FALSE,,CMAES,surrogate,4,11,1.15200265701416,0,8,4
none,log,lhs,0.25,0,rf,TRUE,500,jack,,,,EI,,FALSE,,CMAES,surrogate,4,12,1.13836671286125,0,8,4
none,log,lhs,0.25,0,rf,FALSE,500,jack,,,,EI,,FALSE,,CMAES,surrogate,4,13,1.12993030883342,0,8,4
none,log,lhs,0.25,0,rf,TRUE,10,ensemble_standard_deviation,,,,EI,,FALSE,,CMAES,surrogate,4,14,1.17084332445618,0,8,4
none,log,lhs,0.25,0,rf,FALSE,10,ensemble_standard_deviation,,,,EI,,FALSE,,CMAES,surrogate,4,15,1.15423709624247,0,8,4
none,log,lhs,0.25,0,rf,TRUE,500,ensemble_standard_deviation,,,,EI,,FALSE,,CMAES,surrogate,4,16,1.17859151771053,0,8,4
none,log,lhs,0.25,0,rf,FALSE,500,ensemble_standard_deviation,,,,EI,,FALSE,,CMAES,surrogate,4,17,1.14351118138858,0,8,4
none,log,lhs,0.25,0,rf,TRUE,10,law_of_total_variance,,,,EI,,FALSE,,CMAES,surrogate,4,18,1.17037559164255,0,8,4
none,log,lhs,0.25,0,rf,FALSE,10,law_of_total_variance,,,,EI,,FALSE,,CMAES,surrogate,4,19,1.14887742555586,0,8,4
none,log,lhs,0.25,0,rf,TRUE,500,law_of_total_variance,,,,EI,,FALSE,,CMAES,surrogate,4,20,1.1081734818629,0,8,4
none,log,lhs,0.25,0,rf,FALSE,500,law_of_total_variance,,,,EI,,FALSE,,CMAES,surrogate,4,21,1.11248398062718,0,8,4
none,log,lhs,0.25,0,gp,,,,gauss,0,TRUE,EI,,FALSE,,CMAES,surrogate,4,22,1.00921291719856,0,8,4
none,log,lhs,0.25,0,gp,,,,matern3_2,0,TRUE,EI,,FALSE,,CMAES,surrogate,4,23,1.12398850008367,0,8,4
