target,orig_direction,best,scenario,instance,target_variable,repl,iter
-68.3830108642578,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,80
-42.9141273498535,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,81
-72.6823425292969,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,82
-24.890474319458,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,83
-43.6183662414551,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,84
-75.0845642089844,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,85
-77.9144821166992,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,86
-34.576847076416,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,87
-36.8130416870117,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,88
-60.7547874450684,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,89
