algorithm,scenario,instance,best,repl
mlr3mbo,lcbench,167168,-89.2646713256836,501
mlr3mbo,lcbench,167168,-89.2500228881836,502
mlr3mbo,lcbench,167168,-89.274543762207,503
mlr3mbo,lcbench,167168,-89.274543762207,504
mlr3mbo,lcbench,167168,-89.4262161254883,505
mlr3mbo,lcbench,167168,-89.2735214233399,506
mlr3mbo,lcbench,167168,-89.4262161254883,507
mlr3mbo,lcbench,167168,-89.4265594482422,508
mlr3mbo,lcbench,167168,-89.4265594482422,509
mlr3mbo,lcbench,167168,-89.4265594482422,510
mlr3mbo,lcbench,167168,-86.1116409301758,511
mlr3mbo,lcbench,167168,-89.4265594482422,512
mlr3mbo,lcbench,167168,-89.2724990844727,513
mlr3mbo,lcbench,167168,-89.0680618286133,514
mlr3mbo,lcbench,167168,-89.2707977294922,515
mlr3mbo,lcbench,167168,-89.261604309082,516
