job_id,problem,instance,scenario,target,score,quantiles_001,quantiles_01,quantiles_05,quantiles_10,quantiles_20
2098,rbv2_xgboost_1063_bac,1063,rbv2_xgboost,bac,-0.773987531661987,-0.759612561166287,-0.750285925865173,-0.739165434241295,-0.726727402210236,-0.698556160926819
2099,rbv2_xgboost_1063_auc,1063,rbv2_xgboost,auc,-0.924880564212799,-0.906051160633564,-0.897340178489685,-0.886348068714142,-0.875829696655273,-0.862882971763611
2100,rbv2_xgboost_1063_logloss,1063,rbv2_xgboost,logloss,0.316138029098511,0.338881611824036,0.353981047868729,0.372012183070183,0.381498008966446,0.395156592130661
2101,rbv2_xgboost_23512_acc,23512,rbv2_xgboost,acc,-1,-1,-0.993020731806755,-0.778759181499481,-0.746177792549133,-0.722499251365662
2102,rbv2_xgboost_23512_bac,23512,rbv2_xgboost,bac,-1,-0.993245128512383,-0.745775211453438,-0.725769290328026,-0.71624721288681,-0.701635909080505
2103,rbv2_xgboost_23512_auc,23512,rbv2_xgboost,auc,-1,-1,-0.999776840209961,-0.853157103061676,-0.806035339832306,-0.784451007843018
2104,rbv2_xgboost_23512_logloss,23512,rbv2_xgboost,logloss,-3.44859696355115e-11,1.84980417543557e-05,0.223904272019863,0.514165714383125,0.535224258899689,0.567593038082123
2105,rbv2_xgboost_40979_acc,40979,rbv2_xgboost,acc,-1,-0.984697410881519,-0.978472232818604,-0.96671861410141,-0.952277779579163,-0.920637130737305
2106,rbv2_xgboost_40979_bac,40979,rbv2_xgboost,bac,-0.981326580047607,-0.973678410291672,-0.967491100430489,-0.957370421290398,-0.947097504138947,-0.926513993740082
2107,rbv2_xgboost_40979_auc,40979,rbv2_xgboost,auc,-1,-0.994916558265686,-0.993816494941711,-0.991207838058472,-0.988941729068756,-0.984663546085358
2108,rbv2_xgboost_40979_logloss,40979,rbv2_xgboost,logloss,0.00189507659524679,0.119525623440743,0.161985153257847,0.238071875274181,0.345056983828545,0.669815421104431
2109,rbv2_xgboost_1040_acc,1040,rbv2_xgboost,acc,-0.999996185302734,-0.998359143733978,-0.99738085269928,-0.995191752910614,-0.992676019668579,-0.990102469921112
2110,rbv2_xgboost_1040_bac,1040,rbv2_xgboost,bac,-0.993310391902924,-0.982632340848446,-0.975833714008331,-0.961994829773903,-0.947676861286163,-0.925459957122803
2111,rbv2_xgboost_1040_auc,1040,rbv2_xgboost,auc,-1,-0.998056411743164,-0.997053682804108,-0.994986864924431,-0.992590844631195,-0.988095164299011
2112,rbv2_xgboost_1040_logloss,1040,rbv2_xgboost,logloss,0.00855127908289433,0.0221369599848986,0.0292887147516012,0.0451976820826531,0.0581864453852177,0.0731156527996064
2113,rbv2_xgboost_1068_acc,1068,rbv2_xgboost,acc,-0.950941741466522,-0.942129731178284,-0.936454117298126,-0.931212246417999,-0.92879444360733,-0.926029682159424
2114,rbv2_xgboost_1068_bac,1068,rbv2_xgboost,bac,-0.617841601371765,-0.580195547759533,-0.562621118426323,-0.534191575646401,-0.518331724405289,-0.507511925697327
2115,rbv2_xgboost_1068_auc,1068,rbv2_xgboost,auc,-0.879561185836792,-0.843354241251946,-0.827327847480774,-0.807049232721329,-0.785437792539597,-0.74768078327179
2116,rbv2_xgboost_1068_logloss,1068,rbv2_xgboost,logloss,0.191178321838379,0.204763785004616,0.213198477178812,0.225801661610603,0.234974056482315,0.247436136007309
2117,rbv2_xgboost_41161_acc,41161,rbv2_xgboost,acc,-1,-1,-0.998943865299225,-0.993414700031281,-0.984434485435486,-0.946174383163452
2118,rbv2_xgboost_41161_bac,41161,rbv2_xgboost,bac,-1,-0.997301399886608,-0.992368106245994,-0.981369709968567,-0.962837183475494,-0.882349944114685
2119,rbv2_xgboost_41161_auc,41161,rbv2_xgboost,auc,-1,-1,-0.999742567539215,-0.996527016162872,-0.991663765907288,-0.969882309436798
2120,rbv2_xgboost_41161_logloss,41161,rbv2_xgboost,logloss,-3.44859696355115e-11,2.05533833650406e-05,0.0261846667528152,0.0668199166655541,0.112969636917114,0.23244494497776
2121,rbv2_xgboost_22_acc,22,rbv2_xgboost,acc,-0.999996185302734,-0.870314445793629,-0.828810946345329,-0.800719738006592,-0.776583343744278,-0.736621379852295
2122,rbv2_xgboost_22_bac,22,rbv2_xgboost,bac,-0.944561421871185,-0.810567976653576,-0.800214650630951,-0.784542858600617,-0.768121361732483,-0.73871887922287
2123,rbv2_xgboost_22_auc,22,rbv2_xgboost,auc,-0.999998092651367,-0.977899493634701,-0.951974332332611,-0.945580840110779,-0.939411282539368,-0.928980529308319
2124,rbv2_xgboost_22_logloss,22,rbv2_xgboost,logloss,0.029605507850647,0.515455087125301,0.554119106531143,0.625833868980408,0.703361392021179,0.875783860683441
2125,rbv2_xgboost_1489_acc,1489,rbv2_xgboost,acc,-0.942722916603088,-0.914304139018059,-0.892824590206146,-0.867346489429474,-0.850666165351868,-0.829071819782257
2126,rbv2_xgboost_1489_bac,1489,rbv2_xgboost,bac,-0.921747803688049,-0.872309280097485,-0.842450143098831,-0.804989045858383,-0.779811280965805,-0.744504356384277
2127,rbv2_xgboost_1489_auc,1489,rbv2_xgboost,auc,-0.969595670700073,-0.946322386920452,-0.931098580360413,-0.911662518978119,-0.898227214813232,-0.879586338996887
2128,rbv2_xgboost_1489_logloss,1489,rbv2_xgboost,logloss,0.200885221362114,0.262464462459087,0.304393399059772,0.356055587530136,0.388735055923462,0.439676135778427
2129,rbv2_xgboost_41027_acc,41027,rbv2_xgboost,acc,-1,-1,-1,-0.896136045455933,-0.849535042047501,-0.772081553936005
2130,rbv2_xgboost_41027_bac,41027,rbv2_xgboost,bac,-1,-0.85311051440239,-0.818073449134827,-0.75155500471592,-0.671122908592224,-0.570204973220825
2131,rbv2_xgboost_41027_auc,41027,rbv2_xgboost,auc,-1,-1,-1,-0.956077727675438,-0.936088025569916,-0.908404469490051
2132,rbv2_xgboost_41027_logloss,41027,rbv2_xgboost,logloss,-3.44859696355115e-11,-3.44859696355115e-11,3.28854403051082e-05,0.335112452507019,0.440036478638649,0.596535742282867
