input_trafo,output_trafo,init,init_size_fraction,random_interleave_iter,trees,variance_estimator,acqf,lambda,epsilon_decay,lambda_decay,acqopt,parameter,iteration,id,mean_meta_score,n_na,n,batch_nr
none,log,sobol,0.05,0,500,law_of_total_variance,PI,,,,LS,acqf,7,13,0.754249251196263,0,14,7
none,log,sobol,0.05,0,500,law_of_total_variance,Mean,,,,LS,acqf,7,14,0.721325313415,0,14,7
none,log,sobol,0.05,0,500,law_of_total_variance,CB,1,,TRUE,LS,acqf,7,15,0.775965572706729,0,14,7
none,log,sobol,0.05,0,500,law_of_total_variance,CB,3,,TRUE,LS,acqf,7,16,0.789454390740741,0,14,7
none,log,sobol,0.05,0,500,law_of_total_variance,CB,10,,TRUE,LS,acqf,7,17,0.782212596845362,0,14,7
none,log,sobol,0.05,0,500,law_of_total_variance,CB,1,,FALSE,LS,acqf,7,18,0.772454638092987,0,14,7
none,log,sobol,0.05,0,500,law_of_total_variance,CB,10,,FALSE,LS,acqf,7,19,0.786437783229199,0,14,7
none,log,sobol,0.05,0,500,law_of_total_variance,EI,,TRUE,,LS,acqf,7,20,0.791948723514708,0,14,7
none,log,sobol,0.05,0,500,law_of_total_variance,EI,,FALSE,,LS,acqf,7,21,0.76786452637005,0,14,7
none,log,sobol,0.05,0,500,law_of_total_variance,CB,3,,FALSE,RS_1000,acqopt,7,22,0.553667897092794,0,14,7
none,log,sobol,0.05,0,500,law_of_total_variance,CB,3,,FALSE,RS,acqopt,7,23,0.600036021035383,0,14,7
unitcube,log,random,0.05,0,500,law_of_total_variance,CB,3,,FALSE,LS,input_trafo,8,1,0.800080318622455,0,14,8
none,none,random,0.05,0,500,law_of_total_variance,CB,3,,FALSE,LS,output_trafo,8,2,0.491272442736593,0,14,8
none,standardize,random,0.05,0,500,law_of_total_variance,CB,3,,FALSE,LS,output_trafo,8,3,0.498703905851745,0,14,8
none,log,lhs,0.05,0,500,law_of_total_variance,CB,3,,FALSE,LS,init,8,4,0.806657120503187,0,14,8
none,log,sobol,0.05,0,500,law_of_total_variance,CB,3,,FALSE,LS,init,8,5,0.783893723640845,0,14,8
none,log,random,0.10,0,500,law_of_total_variance,CB,3,,FALSE,LS,init_size_fraction,8,6,0.775237913859624,0,14,8
none,log,random,0.25,0,500,law_of_total_variance,CB,3,,FALSE,LS,init_size_fraction,8,7,0.770895880771547,0,14,8
none,log,random,0.05,2,500,law_of_total_variance,CB,3,,FALSE,LS,random_interleave_iter,8,8,0.744224467066541,0,14,8
none,log,random,0.05,4,500,law_of_total_variance,CB,3,,FALSE,LS,random_interleave_iter,8,9,0.79650922846296,0,14,8
none,log,random,0.05,0,10,law_of_total_variance,CB,3,,FALSE,LS,trees,8,10,0.664375971584809,0,14,8
none,log,random,0.05,0,500,jack,CB,3,,FALSE,LS,variance_estimator,8,11,0.706941593524464,0,14,8
none,log,random,0.05,0,500,ensemble_standard_deviation,CB,3,,FALSE,LS,variance_estimator,8,12,0.725591757296998,0,14,8
none,log,random,0.05,0,500,law_of_total_variance,PI,,,,LS,acqf,8,13,0.748857216202434,0,14,8
none,log,random,0.05,0,500,law_of_total_variance,Mean,,,,LS,acqf,8,14,0.7196862085481,0,14,8
none,log,random,0.05,0,500,law_of_total_variance,CB,1,,TRUE,LS,acqf,8,15,0.742982817768369,0,14,8
none,log,random,0.05,0,500,law_of_total_variance,CB,3,,TRUE,LS,acqf,8,16,0.76940340166381,0,14,8
none,log,random,0.05,0,500,law_of_total_variance,CB,10,,TRUE,LS,acqf,8,17,0.782067191292587,0,14,8
none,log,random,0.05,0,500,law_of_total_variance,CB,1,,FALSE,LS,acqf,8,18,0.748048806027708,0,14,8
none,log,random,0.05,0,500,law_of_total_variance,CB,10,,FALSE,LS,acqf,8,19,0.784075021097856,0,14,8
none,log,random,0.05,0,500,law_of_total_variance,EI,,TRUE,,LS,acqf,8,20,0.759064202416129,0,14,8
none,log,random,0.05,0,500,law_of_total_variance,EI,,FALSE,,LS,acqf,8,21,0.737772401063844,0,14,8
none,log,random,0.05,0,500,law_of_total_variance,CB,3,,FALSE,RS_1000,acqopt,8,22,0.551154386999105,0,14,8
none,log,random,0.05,0,500,law_of_total_variance,CB,3,,FALSE,RS,acqopt,8,23,0.591241112869344,0,14,8
